contentname,filename,author,summary,timestamp,link/_mf,link/_kb,filesize,meta
Dunia Mewarnai Anak,dma.zip,david,Anak-anak akan diajak mewarnai gambar dengan berbagai macam palet warna. Hasilnya sang anak dapat mengeprint hasil karyanya. Cobalah berekperimen warna untuk pengetahuan yang kaya akan warna! Software bagus untuk sekolah-sekolah.,,4xpn6vg3bzdggjx,"/garett/divinekids-176704/dma,1183885.zip",2 MB,
Dunia Mewarnai Divinekids,duniamewarnaidk.zip,david,"Game mewarnai keren dimana kamu dapat belajar mewarnai, dan berani bereksperimen mencoba-coba menemukan kombinasi warna keren. Pilihan gambar yang lucu, kocak, manis, macam-macam!",,tb11bczq6bq9715,"/garett/divinekids-176704/duniamewarnaidk,1183889.zip",3 MB,
Echoes of Silence,echoes.zip,dk-assoc,Game tembak-tembakan ini mengisahkan seorang cewek cantik yang terdampar di suatu pulau dan disana banyak keganjilan yang harus diselidiki. Vampire Wanita penguasanya.,,ql616tsh5c5hs82,"/garett/divinekids-176704/echoes,1222145.zip",103 MB,
En Garde (HP Nokia),engarde.zip,dk-assoc,"Game ksatria berpedang ini seru untuk dimainkan di handphone NOKIA 3650, 3660, 7650 (untuk seri lain belum kami coba). Kemungkinan N-Gage juga bisa.(ZIP jika dibuka ada 2 file).",,1z7rn81kf6abhyy,"/garett/divinekids-176704/engarde,1222185.zip",35 MB,
English Book 1,englishbook1.zip,ryugasia,Petualangan Belajar Bahasa Inggris ANEH dimulai saat kamu menemukan EB misterius di taman. Ujian di kelas terasa mudah. Misteri apa di balik semua ini? Karya Ryugasia.,,7zu2w0lj7h72x24,"/garett/divinekids-176704/englishbook1,1222077.zip",24 MB,
English Words,englishwords.zip,dk-assoc,"Asyik dan Keren! Pilih huruf dan susun seberapa banyak kata Bahasa Inggris yang kamu bisa buat. Makin panjang huruf makin tinggi skor, Awas jebakan-jebakan!",,ye83ad4ztaxkcxy,"/garett/divinekids-176704/englishwords,1188449.zip",8 MB,
Petualangan Eril,eril.zip,dk-assoc,"Seorang putri duyung bernama Eril menemukan 2 pangeran tenggelam, manakah yang dia tolong? Akan adakah penyihir bawah laut yang mengganggu?",,yqz1r0me6f4g96m,"/garett/divinekids-176704/eril,1222076.zip",27 MB,
Escaping Castle,escapingcastle.zip,dk-assoc,"Game kumpulan dari mini game yang mengisahkan seorang putri yang hendak kabur dari cengkraman penyihir. Ada game menghafal, mencari jalan, dan lain-lainnya. Grafik menarik.",,olz3q3x21zkke94,"/garett/divinekids-176704/escapingcastle,1222073.zip",20 MB,
Farmonster,farmonster.zip,david,"Kamu adalah peternak yang terpisah dengan orang tua karena peperangan. Modalmu 1 tanah kosong dan Rp 30. Jual beli, pemeliharaan hewan penting. Eits! Jangan sampai Monster Prockok Zolimist memakan hewan ternak anda!",,0j2qoi09tffkvk6,"/garett/divinekids-176704/farmonster,1188461.zip",10 MB,has apk version
Flippo,flippo.zip,farhan,"Jagoan bernama Flippo ini harus merebut Kristal-Kristal yang digunakan organisasi jahat. Game dari Farhan Alfaizi, semester pertama di 2D Game Research Surya University!",,f5acieayxuyv8yc,"/garett/divinekids-176704/flippo,1222071.zip",20 MB,
Forestia,forestia.zip,madfal,"Aksi penebang hutan menggila, bahkan sampai pohon langka pun mau ditebang. FORESTIA mengisahkan pejuang pelindung bumi ini melawan serbuan para penebang liar dan mesin Tank Penghancur!",,ff9f7ofx3l34mxg,"/garett/divinekids-176704/forestia,1188450.zip",9 MB,
Frixia,frixa.zip,dk-assoc,"Selagi main game tiba-tiba Iru tersedot ke dalam game Frixa, untuk kembali ke dunianya, Iru berjuang melawan Omega. Main game ini dengan klik titik merah saat ANIMASI FIGHTING. Selain itu game gerakkan jagoan dengan mouse.",,zp9b3enu5berjda,"/garett/divinekids-176704/frixa,1222113.zip",75 MB,
Fun Fun Study,funfunstudy.zip,dk-assoc,"Kamu seorang fotografer handal yang ditugaskan memotret di hutan. Kalau kamu ditugaskan potret harimau, ya potretlah harimau. Orderan umumnya bahasa Indonesia, jarang Inggris atau Mandarin.Bisa?",,xhcy7d3src8me85,"/garett/divinekids-176704/funfunstudy,1222066.zip",20 MB,
Galactic Battle,galacticbattle.zip,jonathan,Game sederhana tentang pesawat antariksa JOHNGUN melawan kapal alien cukup asyik dimainkan. Karya pertama dari Jonathan Gunawan - Surya University!,,qemmx0drd482ad1,"/garett/divinekids-176704/galacticbattle,1188447.zip",8 MB,
Gameku Sendiri,gameku.zip,david,"Impian anak-anak bisa GAMPANG membuat game terwujud. Coba pakai software gratis GAMEKU SENDIRI ini. Buat 8 karakternya sendiri, atur daya serang, kecepatan,dll Anak-anak pasti suka!",,7mzyecuyz4tonbu,"/garett/divinekids-176704/gameku,1222060.zip",21 MB,
Game SBY Anti Koruptor,gamesby.zip,david,Game Kampanye Pertama Indonesia yang dibuat Februari 2009 untuk mendukung Bapak Presiden SBY. Game ini boleh didownload jika anda berusia 21 tahun keatas/ usia pencontreng. Password : sbyok,,78jr9btbj0o8job,"/garett/divinekids-176704/gamesby,1188443.zip",6 MB,
Game Strategiku,gamestrategiku.zip,david,"Buatlah game strategimu sendiri, dengan karakter-karaktermu sendiri. Asal bisa memakai Notepad, PAINT (sebaiknya Photoshop), kayaknya lucu kalau jagoannya foto kamu dan teman kamu.",,551kwho15zh3ok1,"/garett/divinekids-176704/gamestrategiku,1246381.zip",10 MB,
Garuda Jetz v1.25,garudajetz.zip,david,Game 5 Pesawat yang bisa dipilih dan bisa diupgrade variasi tembakannya. Dilindungi Garuda Bahasa Indonesia dan Inggris. 10 stage.Pilih download salah satu.,,o06ia6fpijclqx0,"/garett/divinekids-176704/garudajetz,1188486.zip",18 MB,
Matematika Gasing Poxie Terbang,gasingpoxieterbang.zip,yohanes,"Game petualangan Poxie Musang terbang sambil menjawab soal-soal matematika, dihadang musuh. Mainnya cukup tap atas layar atau tap bawah layar untuk NAIK TURUN.",,ju25ahxhqsszver,"/garett/divinekids-176704/gasingpoxieterbang,1188454.zip",10 MB,swf alt
Gatot Kaca 2159,gatotkaca2159.zip,rizky,"Gatot Kaca lawan mesin robot yang menguasai bumi tahun 2159, manusia sudah tidak berdaya lagi. Kiriman dari Muhammad Rizky Abdul Hakim",,mll4o1v28vdy3wa,"/garett/divinekids-176704/gatotkaca2159,1183891.zip",3 MB,
Ghost In Campus,gic.zip,dk-assoc,Game horror seram. 5 Mahasiswa bermain Jailangkung lenyap tak berbekas. Kamu sedang di sana waktu itu. Apakah yang akan terjadi padamu?,,havycz7uhoa7e01,"/garett/divinekids-176704/gic,1222070.zip",20 MB,
Hadapi UN,hadapiun.zip,basil,Mau hadapi Ujian Nasional? Yakin lulus? Mainkan game ini dulu biar kamu lebih yakin nantinya lulus UN atau tidak :) Seru dan Asyik! Buatan Basil Team yang okeh!,,4p8dbml5f78v3g5,"/garett/divinekids-176704/hadapiun,1226686.zip",35 MB,
Berhitung Keren DK,hitung.zip,david,"Game belajar menghitung penjumlahan, pengurangan,dll. Ada sistem rapor dan kenaikan kelas. Jika anda mendapat nilai jelek ya siap-siap aja dimangsa oleh BAMBODINO yang bergigi tajam!!! Grauwww!!!",,13e1pekohtjk5dd,"/garett/divinekids-176704/hitung,1188456.zip",11 MB,
Indonesia Merdeka,indonesiamerdeka17an.apk,lioncat,"Game untuk Android Tablet ini isinya BANYAK MINI GAME mulai dari Loncat Karung, Tarik Tambang, Lempar Kelereng,dll Lomba untuk peringatan kemerdekaan Indonesia.",,3pkor8rr8fupdno,"/garett/divinekids-176704/indonesiamerdeka17an,1188462.apk",13 MB,
Indorace (Demo),indorace.zip,dk-assoc,"Game balapan Becak Medan,dll ini buatan SNEMA dari Medan! Versi demo=2 stage gratis. Jika ada pertanyaan/ ingin beli versi fullnya: agamong@gmail.com Transaksi beli versi full diluar tanggung jawab DIVINEKIDS! Divinekids tidak mendapat Rp.",,8cjzu1kf69w48ej,"/garett/divinekids-176704/indorace,1222052.zip",38 MB,
Jaran DivineKids Menyamakan Bentuk,jaran.zip,david,"Game mencari persamaan bentuk dan warna dalam gaya pacuan kuda. Ada level gampang, normal dan edan. 3 stage area yang seru. Anda bisa jadi jagoan di game ini, baca Photo to Game!!!",,qd6w7cl677kappg,"/garett/divinekids-176704/jaran,1188455.zip",10 MB,
Petualangan Jojo Jeje,jojojeje.zip,dk-assoc,"Kumpulan mini game lucu dimana Jojo mau bertemu pacarnya Jeje di pulau seberang. Dia harus melewati beberapa pulau. Ada tantangan menghafal urutan gambar, angka, kelincahan menghindar,dll!",,264dvbjo944bwp9,"/garett/divinekids-176704/jojojeje,1222036.zip",16 MB,
The Princess Kaguya,kaguya.zip,dk-assoc,Game Cerita Bercabang ini memiliki cerita menarik dan banyak pilihan ending. Ada mini game Cari 5 beda.Buat Jepang mania ini pasti menyenangkan!,,283pm3ncuvcbidg,"/garett/divinekids-176704/kaguya,1188457.zip",11 MB,
Kamera Terkutuk,kameraterkutuk.zip,dk-assoc,Anda mendapat sebuah kamera yang ternyata dapat memotret hantu. Hantu yang anda potret tersebut menghantui anda. Sebuah game shooting yang sangat seram. Anda harus main!,,70w9p96n5cs2xwx,"/garett/divinekids-176704/kameraterkutuk,1222051.zip",27 MB,
Kapten Pembasmi,kaptenpembasmi.zip,raphin,"Bumi diserang oleh Makhluk-makhluk aneh, Kapten Pembasmi datang menolong. Lawan memberi sogokan kepada Kapten Pembasmi agar berkhianat melawan bumi. Apa yang ditawarkan Makhluk tsb? Karya Raphin - semester pertama di 2D Game Research Surya University.",,5395lpz2qqnd9ez,"/garett/divinekids-176704/kaptenpembasmi,1188473.zip",18 MB,
Kidi Ketapel (ver 1.20),kidiketapel.zip,david,"Petualangan Kidi Ayam melawan Geng Anjing Perokok dengan ketapelnya. Seru, kocak, dan nyolot (untuk para perokok).",,pc769sg24a09arx,"/garett/divinekids-176704/kidiketapel,1246382.zip",10 MB,
Kartu Kembar DK Alpha,kkdkalpha.zip,david,"Game permainan mencari pasangan kartu yang kembar dengan suasana pagi yang santai, malam yang indah, dll. Permainan standar yang cocok untuk rileks.",,8qjqx5xg6uduqnv,"/garett/divinekids-176704/kkdkalpha,1222045.zip",23 MB,
Kartu Kembar DK Multi Bahasa,kkdkmbhs.zip,david,"Game permainan mencari pasangan kartu yang kembar dengan jurus untuk melawan gangguan musuh : penukar kartu, jurus penyerang,dll. 5 bahasa: Indonesia,Inggris, Mandarin, Jawa, Palembang!!!",,h1a6ht6yn3bz6nw,"/garett/divinekids-176704/kkdkmbhs,1222044.zip",26 MB,
Kartu Kembar Variasi,kkdkvariasi.zip,david,"Game permainan mencari pasangan kartu yang kembar dengan banyak pilihan kategori, foto-foto, angka, warna, gambar, dll Sangat bagus untuk melatih ingatan anda. Ada orang yang kuat menghafal warna, ada yang kuat mengahafal bentuk.",,8r8g36g1gu3brj7,"/garett/divinekids-176704/kkdkvariasi,1188411.zip",4 MB,
Knight Legend,knightlegend.zip,raypaulus,"Appolos menjadi murid seorang pendekar terkenal GOLDIUS, mereka mencari harta yang dijaga para monster. Appolos belajar jurus, dan mencari baju zirah, dia bisa ganti baju dan jurus. Lawan berbagai macam boss- petualangan panjang & seru.",,z6w901ei6e6gpa9,"/garett/divinekids-176704/knightlegend,1222035.zip",20 MB,
Koki Nusantara,kokinusantara.zip,marshallina,"Game cara memasak masakan Indonesia, apa saja bumbunya, cara memasaknya bagaimana, dilengkapi video cara memasak yang menarik. Diajari cara memotong, memilih bumbu, dsb.",,h5f4ovb8u4279vu,"/garett/divinekids-176704/kokinusantara,1188480.zip",21 MB,swf alt
Kuis Kata DK,kuis.zip,david,"Game menebak kata yang tersembunyi. Anda pilih huruf apa yang kira-kira ada di layar. Jika tepat maka tampil, jika salah maka kesempatan berkurang. Anda bisa pakai koin tambah 1 atau 2 kesempatan.",,pq0l8edbfamfa98,"/garett/divinekids-176704/kuis,1188414.zip",5 MB,
Kuis 7 Miliar Rupiah / 7 Billion Quiz,kuis7m.zip,david,"Game kocak menjawab pertanyaan dan dapatkan 7 Miliar Rupiah! (kalo sial malah dapat HUTANG 2 Miliar). Gileee!!! Ada QUIZ EDITTOR, jika mau membuat soal untuk game ini. Buat sendiri, dan test temanmu!",,bdp6s5d0d8dn193,"/garett/divinekids-176704/kuis7m,1188471.zip",14 MB,
The Lost Village,lostvillage.zip,dk-assoc,"Saat medali aneh yang anda temukan pecah, anda masuk ke sebuah desa yang hilang. Disana dihuni banyak hantu, ada Kolor Ijo, dll yang memberi tebak-tebakan. Salah jawab=mati !",,u79sst8r8hxg0ze,"/garett/divinekids-176704/lostvillage,1188488.zip",16 MB,
Love Diamond,lovediamond.zip,dk-assoc,Game Cerita Bercabang menarik ala negeri 1001 malam ini bercerita tentang pemuda bernama Sultan hendak meminang putri Raja.Apakah anda seorang yang bijak? Banyak tes psikologi dan kebijaksanaan di game ini.,,btun55b1m42r05e,"/garett/divinekids-176704/lovediamond,1246387.zip",29 MB,
Love Journey,lovej.zip,dk-assoc,"Anda akan dihadapkan dengan 3 cewek cantik, bagaimana cara anda menaklukkan pujaan hati anda? Belajar pacaran ? 13 tahun keatas please.",,mhx4b2ua14afhrj,"/garett/divinekids-176704/lovej,1246388.zip",17 MB,
The Adventure of Xiao Lu,lu.zip,enygmus,"Pengumuman dari Raja Wei tentang kompetisi memperebutkan tahta Raja membuat Xiao Lu berambisi banyak jurus ELEMENTAL. Game Ini KEREN, tapi ukurannya GEDE banget!",,4igq6rvdepk99g1,"/garett/divinekids-176704/lu,1222147.zip",359 MB,
Mangkok Cepat DK / Quick Bowl DK,mangkokdk.zip,david,"Satu koin diletakkan diantara 3 mangkok, dan digerakkan secara cepat. Nah kemudian cari mangkok mana yang ada koinnya tadi. Sejauh mana kemampuan mata dan konsentrasi gabungan anda. Pembuat game ini dapat sampai Level Normal 15 !!!",,o3e668buk0kwtw3,"/garett/divinekids-176704/mangkokdk,1183876.zip",2 MB,
Marathon,marathon.zip,david,"Empat orang pemain bisa diatur orang/komputer berlomba menuju ke garis finish, tetapi banyak monsternya. Kamu juga punya jebakan iseng untuk memperlambat teman kamu: ranjau dan penjara angka. Kocak!",,u5uyhb4275ymytn,"/garett/divinekids-176704/marathon,1188472.zip",15 MB,
Math Curse,mathcurse.swf,synergear,"Monster-monster menyerbu Abyis, sebuah kota yang cinta MATEMATIKA., yang disihir agar BENCI MATEMATIKA. Niko pendekar kebenaran harus melakukan sesuatu!",,a3ena5g0eevyad7,"/garett/divinekids-176704/mathcurse,1246373.zip",3 MB,swf only
Mobil Balap Ketik,mbk.zip,dk-assoc,"Semakin anda mengetik cepat semakin cepat mobil anda. Game ini membantu anda berlatih mengetik 10 jari agar menjadi lebih seru. Cocok juga untuk sekolah SMP, SMA. Ada pencatatan waktu 3 terbaik.",,bcob8bcrmjc416j,"/garett/divinekids-176704/mbk,1183823.zip",704 KB,
Journel of Medi,medi.zip,pixelategroup,"Kamu adalah OBAT MENCRET bernama MEDI ( :D Wakakak), permainannya adalah keterampilan kamu geser-geser mouse sampai tuh anak ga mencret/ diare.by Pixelategroup anggota DK Associates.",,rd6hu632daz6nje,"/garett/divinekids-176704/medi,1188448.zip",10 MB,
Mesias / Messiah,mesias.zip,david,"Game 40 Mb Real Time strategy tentang Yesus dan murid-muridnya menyembuhkan orang buta, lumpuh, mengusir Iblis, membangkitkan orang mati.",,d4da65rye5v6fre,"/garett/divinekids-176704/mesias,1222047.zip",38 MB,has subversion
Misi Besar Divine Edu,misibesar.zip,david,"Game terbang petualang ini memiliki 3 pilihan jagoan untuk melakukan misi besar. Dunia dinosaurus, listrik,gua alien, dll menanti anda. Bahasa Indonesia, Inggris. Kendali dengan mouse& klik tembak.+ sedikit tes matematika& bahasa.",,627jgg0j77sd2tl,"/garett/divinekids-176704/misibesar,1222049.zip",39 MB,
Mo's Day Out,mo.zip,dk-assoc,Game campuran ketelitian mata dan cerita bercabang ini menggunakan bahasa Inggris yang baik dan benar. Baca text yang ada dengan keras sambil main game. Ikuti petualangan Mo menjadi manusia kerdil.,,6x9mmkanqg9qasd,"/garett/divinekids-176704/mo,1246372.zip",7 MB,
Mobil Negbut!,mobilkebut.zip,dk-assoc,"Game balap rintangan ini diadakan di Bali & Padang. Kendalai mobil balap ini dengan menggunakan mouse. Klik kiri untuk gas, klik kanan untuk BOOSTER NITRO.",,5p4ljnnx55upq1o,"/garett/divinekids-176704/mobilkebut,1222048.zip",40 MB,
The Adventure of Momoko,momoko.zip,dk-assoc,"Game ini mengisahkan cewek Momoko (versi cewek legenda Jepang Momotaro) melawan Raja Iblis. Game RPG, Quiz, Sport, dll. Dijamin SERU!!!",,lmf6x59ep3lc4s2,"/garett/divinekids-176704/momoko,1222054.zip",74 MB,
Monster Jahat Buster,monster.zip,david,"Game tembak monster yang melintasi daerah anda, klik kanan untuk isi peluru anda! Kalau anda berhasil akan dapat pujian, kalau gagal.... Temui monster-monster yang aneh!",,f5exqaalh5upvsu,"/garett/divinekids-176704/monster,1188410.zip",7 MB,
Mozzy Mizzy,mozzymizzy.zip,dk-assoc,Mozzy ingin membuktikan cintanya kepada Mizzy. Mizzy meminta bukti kesungguhan cinta tiga buah mutiara cantik.,,5erbr521vae7rno,"/garett/divinekids-176704/mozzymizzy,1221989.zip",51 MB,
Misteri Raja Pocong,mrpocong.zip,david,"Game arcade petualangan melawan pocong narkoba, anarkis,koruptor,dll ini memiliki animasi 3 bahasa:Ind,Ing,Jawa. Kontrol keyboard atau gamepad. Tiap menang lawan 1 boss pocong dapat jurus baru. Final boss:Kumantho pemakan mayat! Indosiar,SCTV,Trans7,TPI,d",,wc37w4ib2d7lc2r,"/garett/divinekids-176704/mrpocong,1221984.zip",40 MB,
Nevanoid 1 New,n1botr.zip,raditya,"Ras Ghoulvoid tersebut mencoba menguasai dunia. Nevan dan kakaknya menghentikannya... Versi baru Nevanoid. Karya Raditya Tyan Ryugasia, anggota Divinekids yang aktif.",,30pid2b990wpbsg,"/garett/divinekids-176704/n1botr,1221969.zip",49 MB,duplicate
Nama Hewan 3 Bahasa,namahewan3bahasa.zip,dk-assoc,"Mengenal nama hewan lucu dalam 3 bahasa : Indonesia, Inggris, Mandarin. Ada permainannya juga yang menarik untuk anak-anak. Klik tulisannya maka dibaca Mandarin & Inggrisnya.",,32016vyv4l5kg21,"/garett/divinekids-176704/namahewan3bahasa,1188460.zip",13 MB,
The Nanny,nanny.zip,dk-assoc,"Game merawat bayi. Bayi perlu diganti popoknya, diberi minum susu, diajak main, dimandikan,dll. Jangan sampai ada salah nanti dia menangis!",,wvsmx1cx6elg5u5,"/garett/divinekids-176704/nanny,1188485.zip",21 MB,
Nasi Tumpeng Presiden,nasitumpengpresiden.zip,dk-assoc,Game suit Capres vs Capres dan Cawapres vs Cawapres. Setiap suit dihitung REKAPITULASI nya. Wah..wah... suit memperbutkan Nasi Tumpeng PRESIDEN.,,hcblgkmqvpopycb,"/garett/divinekids-176704/nasitumpengpresiden,1188429.zip",8 MB,
Nevanoid,nevanoid.zip,raditya,RPG Ras Ghoulvoid tersebut mencoba merekrut keluarga Thunrecrush untuk membantu mereka dalam rencana menguasai dunia. Nevan dan kakaknya menghentikannya... Karya keren : Raditya Tyan.,,bfct1pqtb9ty1xt,"/garett/divinekids-176704/nevanoid,1221971.zip",57 MB,has subversion
Ngoceh Indonesia,ngoceh.zip,david,"Text to speech PLUS GAME Speak : Indonesia - Jawa Kocak Buanget! Ubah SEMUA ketikan anda jadi suara, asal bahasa Indonesia atau Jawa. SEMUA bisa main, jg sangat berguna : tunawicara& tunanetra.",,d4s1pts91utbn0a,"/garett/divinekids-176704/ngoceh,1222009.zip",79 MB,
Pai Che Lo,paichelo.zip,dk-assoc,"Anda adalah seorang kaisar yang hendak mencari istri dari berbagai macam dunia. Ada yang dari Jepang, India, Afrika,Inggris. Masing-masing ada kisahnya sendiri.",,6ub8prakyd2k24z,"/garett/divinekids-176704/paichelo,1221960.zip",68 MB,
Panco Master,panco.zip,dk-assoc,Tahun 2089 - ada sebuah trend dimana siapa yang paling kuat dalam PANCO dialah yang menjadi ketua di daerah tersebut.Ingin menang Panco? KETIK KATA dengan cepat dan benar.,,j2m7hk664hkr95t,"/garett/divinekids-176704/panco,1221956.zip",48 MB,
Bilangan Pecahan Fraction Survival,pecahanfractions.zip,david,"Game untuk para murid dan guru agar bisa bermain sambil belajar BILANGAN PECAHAN. Plus, Minus, Kali, Bagi. Cuma orang keren bisa sampe LV 99.",,gzxhzr89n6xzmuk,"/garett/divinekids-176704/pecahanfractions,1188397.zip",4 MB,
Pejuang Indonesia,pejuang.zip,dk-assoc,"Game RPG, kamu berjuang bersama-sama Ir. Soekarno ke Surabaya. Bung Tomo menunggu disana. Belajar sejarah sambil main game. Seru! Ciptaan pelajar kreatif : Galih Sensai !",,w1yco9moc5lh1bc,"/garett/divinekids-176704/pejuang,1221988.zip",134 MB,
